genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.1	NMA0001	VBINeiMen132687_0001	A1INM3	38	358	-	321		Mannose-6-phosphate isomerase	FIG00933750	PLF_482_00002658	PGF_00019296			
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.2	NMA0002	VBINeiMen132687_0002	Q9JX92	414	2438	-	2025	nuoL	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	FIG00068727	PLF_482_00000129	PGF_00024738	GO:0008137|NADH dehydrogenase (ubiquinone) activity	1.6.5.3|NADH:ubiquinone reductase (H(+)-translocating)	00190|Oxidative phosphorylation;00910|Nitrogen metabolism
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.3	NMA0003	VBINeiMen132687_0003	A1INM5	2487	2828	-	342		FIG00848560: hypothetical protein	FIG00848559	PLF_482_00001856	PGF_02494967			
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.4	NMA0004	VBINeiMen132687_0004	A1INM6	2952	3527	-	576		Fic domain protein, HP1159 type	FIG01341464	PLF_482_00001825	PGF_00004734			
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.5	NMA0005	VBINeiMen132687_0005	A1INM7	3561	3866	-	306	nuoK	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	FIG00000559	PLF_482_00000193	PGF_00024735	GO:0008137|NADH dehydrogenase (ubiquinone) activity	1.6.5.3|NADH:ubiquinone reductase (H(+)-translocating)	00190|Oxidative phosphorylation;00910|Nitrogen metabolism
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.6	NMA0006	VBINeiMen132687_0006	A1INM8	3863	4534	-	672		NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	FIG00000569	PLF_482_00000135	PGF_00024728	GO:0008137|NADH dehydrogenase (ubiquinone) activity	1.6.5.3|NADH:ubiquinone reductase (H(+)-translocating)	00190|Oxidative phosphorylation;00910|Nitrogen metabolism
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.7		VBINeiMen132687_0007		4540	4662	+	123		hypothetical protein	FIG00638284	PLF_482_00010688	PGF_02487835			
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.8	NMA0008	VBINeiMen132687_0008	Q9JQM2	5308	5787	-	480	nuoI	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	FIG00138210	PLF_482_00000183	PGF_00024717	GO:0008137|NADH dehydrogenase (ubiquinone) activity	1.6.5.3|NADH:ubiquinone reductase (H(+)-translocating)	00190|Oxidative phosphorylation;00910|Nitrogen metabolism
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.9	NMA0009	VBINeiMen132687_0009	Q9JX88	5867	6943	-	1077		NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	FIG00133041	PLF_482_00000145	PGF_00024706	GO:0008137|NADH dehydrogenase (ubiquinone) activity	1.6.5.3|NADH:ubiquinone reductase (H(+)-translocating)	00190|Oxidative phosphorylation;00910|Nitrogen metabolism
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.10	NMA0010	VBINeiMen132687_0010	A1INN2	6946	9207	-	2262	nuoG	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	FIG00010922	PLF_482_00000113	PGF_00024700	GO:0008137|NADH dehydrogenase (ubiquinone) activity	1.6.5.3|NADH:ubiquinone reductase (H(+)-translocating)	00190|Oxidative phosphorylation;00910|Nitrogen metabolism
122587.5	Neisseria meningitidis Z2491	NC_003116	PATRIC	CDS	fig|122587.5.peg.11	NMA0011	VBINeiMen132687_0011	A1INN3	9489	9758	-	270		FIG00847722: hypothetical protein	FIG00847721	PLF_482_00002614	PGF_02495916			
